WKT,name,description
"POLYGON ((46.6257359 24.6685422, 46.629704 24.669431, 46.633645 24.670464, 46.635437 24.671176, 46.638838 24.674585, 46.639573 24.677443, 46.638709 24.680931, 46.6368562 24.6840711, 46.635466 24.686615, 46.6304108 24.692835, 46.61988 24.708626, 46.61861 24.710171, 46.617234 24.711569, 46.602133 24.723822, 46.59745 24.7276, 46.595188 24.729497, 46.593281 24.731608, 46.591956 24.733462, 46.590421 24.73632, 46.588954 24.73519, 46.586839 24.733168, 46.585736 24.731909, 46.584719 24.730532, 46.583886 24.728316, 46.583738 24.72752, 46.583536 24.725107, 46.583334 24.720396, 46.582939 24.717687, 46.582125 24.714837, 46.581161 24.712503, 46.5794 24.709471, 46.577386 24.70681, 46.57797 24.70661, 46.5747935 24.7059661, 46.5768988 24.7052354, 46.573874 24.7044059, 46.5710875 24.7010336, 46.5621592 24.694765, 46.5602419 24.688984, 46.5580453 24.6830269, 46.557463 24.676108, 46.55831 24.671905, 46.5642912 24.6713757, 46.5680055 24.6702794, 46.5720792 24.6695352, 46.5834551 24.6669727, 46.586251 24.666595, 46.5959617 24.6642805, 46.603709 24.662772, 46.603709 24.657244, 46.620572 24.666415, 46.623668 24.667683, 46.6257359 24.6685422))",66-Riyadh_Al Khuzama_4,
"POLYGON ((46.53228 24.805378, 46.522153 24.803212, 46.510486 24.800721, 46.507226 24.789042, 46.499161 24.763812, 46.496585 24.755558, 46.492643 24.743094, 46.486803 24.709895, 46.523185 24.700227, 46.531071 24.692663, 46.556811 24.716912, 46.576026 24.726424, 46.582717 24.724243, 46.583747 24.729385, 46.587521 24.734526, 46.590418 24.736394, 46.584948 24.745275, 46.581944 24.753302, 46.580915 24.756729, 46.576883 24.764673, 46.572336 24.774485, 46.567961 24.784453, 46.565736 24.792454, 46.56179 24.795724, 46.546005 24.797748, 46.53228 24.805378))",1045-Riyadh_Ad Diriyah_321,
"POLYGON ((46.774756 24.526145, 46.774884 24.52595, 46.806853 24.535719, 46.8345165 24.5107002, 46.865399 24.548571, 46.826508 24.573514, 46.824251 24.574996, 46.822101 24.576595, 46.817457 24.580299, 46.813125 24.58378, 46.808814 24.587397, 46.804303 24.590809, 46.794578 24.596543, 46.788341 24.599746, 46.776505 24.605785, 46.770308 24.610216, 46.765426 24.612441, 46.763152 24.609847, 46.759858 24.607007, 46.737238 24.594258, 46.742073 24.588259, 46.746368 24.581396, 46.768932 24.542662, 46.77326 24.535068, 46.774756 24.526145))",100-Riyadh_Al Aziziyah_15,
"POLYGON ((46.736024 24.506339, 46.73641 24.506066, 46.748319 24.520511, 46.730749 24.532385, 46.745111 24.547844, 46.758385 24.560696, 46.757399 24.562363, 46.743632 24.585704, 46.737295 24.594285, 46.730595 24.590587, 46.726528 24.588582, 46.723345 24.58743, 46.720098 24.586433, 46.716346 24.585582, 46.712604 24.585136, 46.710726 24.585197, 46.708267 24.58562, 46.70525 24.586138, 46.7036937 24.5857535, 46.7010193 24.5857036, 46.6919544 24.585229, 46.6846732 24.5796785, 46.6790125 24.5752899, 46.6663284 24.569753, 46.6531652 24.5660393, 46.670592 24.55126, 46.6778139 24.5464838, 46.703485 24.528798, 46.735721 24.506561, 46.736024 24.506339))",99-Riyadh_Al Shifa_14,
"POLYGON ((46.827544 24.700375, 46.863559 24.722617, 46.86541 24.726862, 46.864764 24.730926, 46.851824 24.749311, 46.8487197 24.7554578, 46.841503 24.764691, 46.837811 24.761925, 46.799585 24.738112, 46.827544 24.700375))",112-Riyadh_An Nassim_16,
"POLYGON ((46.614109 24.826591, 46.61412 24.826596, 46.6088907 24.8374959, 46.5991729 24.8564849, 46.5865664 24.8816183, 46.5791084 24.8958459, 46.5412869 24.8790724, 46.5518906 24.8566928, 46.5552512 24.8268896, 46.56478 24.79686, 46.573679 24.800045, 46.584778 24.814129, 46.614109 24.826591))",N-81-Riyadh_Aarid_1,
"POLYGON ((46.701702 24.819263, 46.701695 24.819258, 46.7308635 24.8330117, 46.7336126 24.8496812, 46.7329288 24.8657271, 46.7031008 24.9009265, 46.69425 24.8889638, 46.6941596 24.8656108, 46.6813318 24.8540078, 46.697483 24.825673, 46.701702 24.819263))",1205-Riyadh_Princess Noura and airport_7,
"POLYGON ((46.7844533 24.6823484, 46.7879397 24.6837225, 46.7930947 24.6858618, 46.8008467 24.6889383, 46.827792 24.700496, 46.799585 24.738112, 46.783317 24.727889, 46.76346 24.715553, 46.761729 24.714491, 46.762877 24.712811, 46.769466 24.703617, 46.769725 24.703146, 46.770094 24.702577, 46.770593 24.701562, 46.771177 24.700376, 46.771538 24.699535, 46.777563 24.679569, 46.7844533 24.6823484))",136-Riyadh_Ar Rayyan_13,
"GEOMETRYCOLLECTION (POLYGON ((46.882303 24.8847912, 46.8676264 24.9033617, 46.846136 24.8910164, 46.8497791 24.843073, 46.882303 24.8847912)), POLYGON ((46.845487 24.837565, 46.836566 24.835729, 46.826936 24.83374, 46.819901 24.83224, 46.815999 24.831198, 46.811379 24.829825, 46.804537 24.827258, 46.797839 24.824447, 46.808929 24.809438, 46.81257 24.804078, 46.815531 24.800221, 46.825394 24.807269, 46.827311 24.808581, 46.831774 24.811827, 46.83279 24.812483, 46.833376 24.812723, 46.835594 24.814307, 46.836352 24.813437, 46.838026 24.814411, 46.845879 24.818566, 46.845722 24.819994, 46.845808 24.821734, 46.847238 24.827566, 46.848669 24.833402, 46.849668 24.837811, 46.850056 24.839427, 46.8497791 24.843073, 46.845487 24.837565)))",134-Riyadh_Al Qadisiyyah_7,
"POLYGON ((46.889567 24.765761, 46.9164744 24.7780928, 46.9339445 24.7941649, 46.9248464 24.8292753, 46.9191248 24.8294831, 46.9115711 24.8285485, 46.9006991 24.8300028, 46.896859 24.838473, 46.894291 24.836, 46.891516 24.832058, 46.887154 24.826247, 46.878644 24.81474, 46.8414015 24.7656641, 46.852659 24.750095, 46.875919 24.764164, 46.889567 24.765761))",131-Riyadh_An Nazim_8,
